Titel,Datum,Ort,Link,Kategorie,Adresse,lat,lon,Datum/Uhrzeit
STICKS & STONES Köln '25 - Das Job- & Karrierefestival,"Sat, Feb 8, 10:00 AM",Palladium,https://www.eventbrite.co.uk/e/sticks-stones-koln-25-das-job-karrierefestival-tickets-906784887007?aff=ebdssbcitybrowse,business,Schanzenstraße 36 51063 Köln,50.9681886,7.0157241,
gamescom LAN 2025,Kein Datum gefunden,Messepl. 1,https://www.eventbrite.de/e/gamescom-lan-2025-tickets-993644366047?aff=ebdssbcitybrowse,film-and-media,Messeplatz 1 Halle 2.1 / Tor H 50679 Köln,,,
Online Fundraising Forum 2025,"Tue, Feb 25, 9:30 AM",Am Kabellager 11,https://www.eventbrite.de/e/online-fundraising-forum-2025-tickets-999415497657?aff=ebdssbcitybrowse,business,Am Kabellager 11 51063 Köln,50.9685795,7.0107263,
Bademäntelparty 01.03.25 Stadthalle,"Sat, Mar 1, 12:00 PM",Stadthalle Köln,https://www.eventbrite.de/e/bademantelparty-010325-stadthalle-tickets-1109103411159?aff=ebdssbcitybrowse,music,Jan-Wellem-Straße 2 51065 Köln,50.95987555,7.005022831321961,
Wein Seminar - FRANZÖSICHE WEINVIELFALT - SÜDFRANKREICH & RHONE ENTDECKEN,Freitag um 18:00,Die Weinstrasse | Ihr Weinladen in der Kölner Südstadt | Weinhandlung & Weingeschäft Köln-Süd,https://www.eventbrite.de/e/wein-seminar-franzosiche-weinvielfalt-sudfrankreich-rhone-entdecken-tickets-1110056993349?aff=ebdssbcitybrowse,food-and-drink,Sachsenring 38 50677 Köln,50.92393345,6.9535005173590045,
Sony Lofoten - Workshop,Samstag um 12:00,Calumet Photo Video Köln,https://www.eventbrite.de/e/sony-lofoten-workshop-tickets-1106959197759?aff=ebdssbcitybrowse,hobbies,Aachener Straße 340-346 50933 Köln,50.93743805,6.903233046987366,
Neurostimulation & Neurofeedback - Kostenloser Infotag für Fachpersonal,Samstag um 10:00,AMERON Köln Hotel Regent,https://www.eventbrite.com/e/neurostimulation-neurofeedback-kostenloser-infotag-fur-fachpersonal-tickets-1088440909059?aff=ebdssbcitybrowse,health,Melatengürtel 15 50933 Köln,50.938696500000006,6.909031224037999,
fi = altshift5 w/ Ross From Friends & Nonchalance,Samstag um 23:00,fi,https://www.eventbrite.de/e/fi-altshift5-w-ross-from-friends-nonchalance-tickets-1111628573989?aff=ebdssbcitybrowse,music,Widdersdorfer Straße 246 50825 Köln,50.9482294,6.892987255703424,
Tag der offenen Tür bei Kieser Köln-Neustadt Nord,Samstag um 10:00,Kieser,https://www.eventbrite.com/e/tag-der-offenen-tur-bei-kieser-koln-neustadt-nord-tickets-1109137342649?aff=ebdssbcitybrowse,sports-and-fitness,Neusser Straße 27-29 50670 Köln,50.952432,6.9562890193922655,
Stand Up Sunday | open mic night in English,"Sun, Jan 19, 8:00 PM",James Joyce Irish Pub,https://www.eventbrite.com/e/stand-up-sunday-open-mic-night-in-english-tickets-727518355987?aff=ebdssbcitybrowse,arts,Bonner Straße 39 50677 Köln,50.91861765,6.960597208805964,
"Mobb Deep (Havoc, Big Noyd, DJ.L.E.S.) Live in Cologne","Sun, Jan 19, 7:00 PM",Reineke Fuchs,https://www.eventbrite.com/e/mobb-deep-havoc-big-noyd-djles-live-in-cologne-tickets-1085499110059?aff=ebdssbcitybrowse,music,Aachener Straße 50 50674 Köln,50.9366693,6.934992407112608,
Frauenmagie pur,"Sun, Jan 19, 1:00 PM","Körper, Geist Und Seele",https://www.eventbrite.de/e/frauenmagie-pur-tickets-1015923052197?aff=ebdssbcitybrowse,health,Heinrich-Brüning-Straße 8 50969 Köln,50.91490935,6.945114386241448,
Wein Seminar - FRANZÖSICHE WEINVIELFALT - SÜDFRANKREICH & RHONE ENTDECKEN,Freitag um 18:00,Die Weinstrasse | Ihr Weinladen in der Kölner Südstadt | Weinhandlung & Weingeschäft Köln-Süd,https://www.eventbrite.de/e/wein-seminar-franzosiche-weinvielfalt-sudfrankreich-rhone-entdecken-tickets-1110056993349?aff=ebdssbcitybrowse,food-and-drink,Sachsenring 38 50677 Köln,50.92393345,6.9535005173590045,
Sony Lofoten - Workshop,Samstag um 12:00,Calumet Photo Video Köln,https://www.eventbrite.de/e/sony-lofoten-workshop-tickets-1106959197759?aff=ebdssbcitybrowse,hobbies,Aachener Straße 340-346 50933 Köln,50.93743805,6.903233046987366,
